500	12
1000	31
1500	8
2000	16
2500	28
3000	36
3500	44
4000	60
4500	80
5000	116
5500	136
6000	165
6500	196
7000	220
7500	245
8000	268
8500	308
9000	365
9500	400
10000	464
10500	460
11000	518
11500	671
12000	768
12500	877
13000	755
13500	852
14000	968
14500	991
15000	1109
15500	1201
16000	1316
16500	1632
17000	1530
17500	1640
18000	1632
18500	2609
19000	1892
19500	2428
20000	3102
20500	2501
21000	3367
21500	2584
22000	4062
22500	3272
23000	4486
23500	3806
24000	4158
24500	4686
25000	4931
25500	5125
26000	5298
26500	5494
27000	5725
27500	5915
28000	6182
28500	6698
29000	7359
29500	6692
30000	7359
30500	8010
31000	7746
31500	9103
32000	8395
32500	9155
33000	9819
33500	9736
34000	9906
34500	10739
35000	10753
35500	11303
36000	11686
36500	12216
37000	12719
37500	13067
38000	13247
38500	15349
39000	13909
39500	14088
40000	16275
40500	15449
41000	15716
41500	19447
42000	17490
42500	18456
43000	18569
43500	18932
44000	18815
44500	21870
45000	20594
45500	21161
46000	22867
46500	22482
47000	23574
47500	27396
48000	27962
48500	30928
49000	35605
49500	39899
