1000	4
2000	2
3000	2
4000	4
5000	2
6000	7
7000	3
8000	3
9000	4
10000	4
11000	6
12000	5
13000	3
14000	5
15000	4
16000	6
17000	6
18000	6
19000	6
20000	6
21000	7
22000	8
23000	5
24000	5
25000	9
26000	5
27000	7
28000	9
29000	10
30000	11
31000	15
32000	11
33000	18
34000	13
35000	12
36000	30
37000	22
38000	14
39000	14
40000	15
41000	13
42000	15
43000	17
44000	16
45000	15
46000	17
47000	17
48000	18
49000	20
50000	20
51000	19
52000	27
53000	19
54000	20
55000	19
56000	20
57000	27
58000	23
59000	21
60000	24
61000	24
62000	23
63000	23
64000	24
65000	23
66000	23
67000	23
68000	24
69000	29
70000	26
71000	25
72000	26
73000	27
74000	25
75000	26
76000	26
77000	28
78000	28
79000	30
80000	25
81000	26
82000	27
83000	33
84000	32
85000	34
86000	30
87000	31
88000	33
89000	33
90000	35
91000	34
92000	33
93000	34
94000	37
95000	29
96000	29
97000	29
98000	38
99000	39
100000	37
