1000	21
2000	30
3000	39
4000	117
5000	172
6000	276
7000	407
8000	482
9000	631
10000	1039
11000	1464
12000	1332
13000	1052
14000	2323
15000	2471
16000	2322
17000	2989
18000	3567
19000	3787
20000	4609
21000	3969
22000	5985
23000	6608
24000	7676
25000	9550
26000	8480
27000	10457
28000	11721
29000	10712
30000	12507
31000	12763
32000	14086
33000	14206
34000	17387
35000	18560
36000	21358
37000	18706
38000	19982
39000	19852
40000	23210
41000	26833
42000	26051
43000	25747
44000	27849
45000	34040
46000	37108
47000	35453
48000	38729
49000	40441
50000	39737
51000	44408
52000	45482
53000	43086
54000	49359
55000	45576
56000	50592
57000	53022
58000	59142
59000	61352
60000	61791
61000	61215
62000	64536
63000	67662
64000	75059
65000	80175
66000	75240
67000	74158
68000	75305
69000	83132
70000	78797
71000	79352
72000	83624
73000	86854
74000	77848
75000	87335
76000	91235
77000	89109
78000	91037
79000	96940
80000	95049
81000	97412
82000	100724
83000	105321
84000	106182
85000	109951
86000	113918
87000	121502
88000	123328
89000	129978
90000	133478
91000	125582
92000	133098
93000	135047
94000	126672
95000	120406
96000	121897
97000	125360
98000	123887
99000	124726
100000	127258
